test_case,success_greedy,success_mcts,steps_greedy,steps_mcts,planning_time_greedy,planning_time_mcts,robot_time_greedy,robot_time_mcts
case_4_1,1.0,1.0,4.0,4.0,2.3636,35.0052,6.4475999999999996,6.614
case_4_10,0.0,1.0,20.0,7.25,77.1438,149.452,59.9404,22.69275
case_4_2,1.0,1.0,4.0,5.0,4.6454,103.2765,14.3546,14.150500000000001
case_4_3,1.0,1.0,4.0,4.0,0.43200000000000005,29.3622,6.1022,6.1152
case_4_4,1.0,1.0,4.0,4.0,4.9532,76.014,13.4342,10.470400000000001
case_4_5,1.0,1.0,6.0,5.4,10.8535,124.19839999999999,13.887,13.026599999999998
case_4_6,0.0,1.0,20.0,5.2,79.9545,109.9616,60.64275,16.297800000000002
case_4_7,0.75,1.0,8.75,6.4,23.14225,138.92159999999998,23.762,22.285
case_4_8,0.0,1.0,20.0,6.0,16.4866,101.111,42.2736,12.1096
case_4_9,0.8,1.0,11.6,6.0,19.8784,83.4084,26.3408,13.294999999999998
case_5_1,0.4,1.0,15.4,6.6,30.1156,147.22480000000002,38.533,14.5224
case_5_2,0.0,1.0,20.0,9.4,63.697,247.49740000000003,50.976,21.0298
case_5_3,0.0,1.0,20.0,6.0,58.559,149.974,53.7,15.73925
case_5_4,0.0,1.0,20.0,7.0,53.925,182.647,51.86,17.01625
case_5_5,1.0,1.0,5.0,5.0,6.747199999999999,104.91120000000001,11.242,10.6994
case_5_6,1.0,1.0,5.8,6.0,8.137,132.70340000000002,10.6776,11.9812
case_6_1,1.0,1.0,6.0,6.2,6.5202,135.7638,13.7436,13.712
case_6_2,0.25,1.0,18.25,7.2,28.31175,172.833,64.573,15.4616
case_6_3,0.2,1.0,17.8,9.5,88.0066,262.46225,54.1754,27.20275
case_6_4,1.0,1.0,6.0,6.0,8.712,147.42419999999998,16.803800000000003,14.4524
case_6_5,0.2,1.0,18.8,6.4,31.8448,162.2344,62.421400000000006,16.0058
case_7_1,1.0,1.0,7.0,7.4,9.0642,181.911,17.439600000000002,18.419400000000003
case_7_2,1.0,1.0,7.5,7.2,14.5075,188.8856,26.7265,22.1946
case_7_3,1.0,1.0,8.0,8.4,5.0038,149.6758,14.971799999999998,16.8702
case_7_4,0.0,1.0,20.0,12.2,32.495000000000005,357.63980000000004,52.84425,31.8964
case_7_5,0.8,1.0,11.4,10.0,23.3872,216.0615,23.121000000000002,25.17775
case_8_1,0.8,1.0,17.8,13.75,85.81800000000001,392.19925,57.8624,45.5185
case_8_2,1.0,1.0,9.0,9.0,8.673,211.99079999999998,20.887800000000002,20.089199999999998
case_8_3,0.2,1.0,18.6,11.8,74.7874,269.5346,51.528600000000004,27.6644
case_8_4,0.8,1.0,10.0,7.6,14.706799999999998,199.4112,36.346199999999996,24.8502
case_8_5,1.0,1.0,8.0,8.0,7.758,195.70499999999998,19.1204,19.162200000000002
real_case_5_1,1.0,1.0,9.0,8.0,7.5802,134.0616,20.1598,19.234
